scenario,run,roi,target_condition,train_block,test_block,model,random_seed,train_rmse_percent,train_mae_percent,train_r2,train_pearson_r,test_rmse_percent,test_mae_percent,test_r2,test_pearson_r,scenario_label
motor_lr_m1_left,MOTOR_LR,M1_left,rh,1,2,GLM,20260729,0.469630383386735,0.3953085328147325,0.1490225220748864,0.5251221068025314,0.5261074747925424,0.4169779373597,0.3232310034311605,0.6329854706606968,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,1,2,MLP,20260729,0.2440841411319421,0.1850902770597075,0.7701286644067977,0.8841593581692884,0.4537030179743329,0.3618705929234178,0.4966908254608879,0.8205201872639586,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,1,2,PINN,20260729,0.2631834210767797,0.2092813783593493,0.7327469014342209,0.8724568851786111,0.4409195430414045,0.3537404991710816,0.5246536012901191,0.818630742853166,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,2,1,GLM,20260738,0.5118789039956201,0.4133119763423604,0.3593424132723284,0.6329854706606967,0.4866762807020481,0.4054707657253891,0.0861265630706136,0.5251221068025314,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,2,1,MLP,20260738,0.2839768839196485,0.2580038670907793,0.8028224393955922,0.9014986481658605,0.509620450413102,0.3951885314295044,-0.0020730632242473,0.8012746338537557,LR–M1 izquierda–mano derecha
motor_lr_m1_left,MOTOR_LR,M1_left,rh,2,1,PINN,20260738,0.4137783673125536,0.342049008711046,0.5813731556240058,0.8211882026441576,0.3233009703947396,0.279800606041901,0.5967079048213348,0.8691004328388282,LR–M1 izquierda–mano derecha
motor_lr_m1_right,MOTOR_LR,M1_right,lh,1,2,GLM,20260829,0.4604936593974211,0.3826247010144001,-0.2180589007393247,-0.1052959147932004,0.5513646103660381,0.4578694258388786,-0.1120688133688478,-0.2200198501501798,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,1,2,MLP,20260829,0.2402247460197906,0.1865417930002973,0.6685206595780964,0.8183396927953817,0.4693804513973427,0.3852716019608511,0.1940578236560934,0.54741422379159,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,1,2,PINN,20260829,0.5295502186196638,0.4352341183937209,-0.6107764948269008,0.5782653650143054,0.4957144357836052,0.4090257653115974,0.1010883278363746,0.6656954388613532,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,2,1,GLM,20260838,0.5287573230443974,0.4382877038320089,-0.0227433811684925,0.2200198501501798,0.4894482242481013,0.4044180326746974,-0.3760508870336165,0.1052959147932004,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,2,1,MLP,20260838,0.4762793524109687,0.4146324528628459,0.170192422977977,0.8922205136613934,0.7092008644147934,0.5999322140797417,-1.8890795006694967,0.5558547952070785,LR–M1 derecha–mano izquierda
motor_lr_m1_right,MOTOR_LR,M1_right,lh,2,1,PINN,20260838,0.4998398037649718,0.4096642421027963,0.086064468567116,0.6637427270564803,0.5522419444319203,0.4574012197617468,-0.751780788825356,0.5763020059501701,LR–M1 derecha–mano izquierda
