metric,preferred_direction,first_model,second_model,n_pairs,first_mean,second_mean,mean_difference,median_difference,wilcoxon_statistic,p_value_raw,rank_biserial,p_value_holm
test_rmse_percent,lower,GLM,MLP,8,0.5537518100938769,0.5645802408776721,-0.0108284307837952,0.0066897401803546,18.0,1.0,0.0,1.0
test_rmse_percent,lower,GLM,PINN,8,0.5537518100938769,0.5018904459952784,0.0518613640985983,0.0704190531667854,7.0,0.1484375,0.6111111111111112,0.328125
test_rmse_percent,lower,MLP,PINN,8,0.5645802408776721,0.5018904459952784,0.0626897948823936,0.0731059626316402,6.0,0.109375,0.6666666666666666,0.328125
test_mae_percent,lower,GLM,MLP,8,0.4516037821223939,0.4633056031838955,-0.0117018210615015,0.0311570765472613,17.0,0.9453125,-0.0555555555555555,0.9453125
test_mae_percent,lower,GLM,PINN,8,0.4516037821223939,0.4153263119538946,0.0362774701684993,0.0491516993998521,9.0,0.25,0.5,0.5
test_mae_percent,lower,MLP,PINN,8,0.4633056031838955,0.4153263119538946,0.0479792912300009,0.0576527738653247,7.0,0.1484375,0.6111111111111112,0.4453125
test_r2,higher,GLM,MLP,8,0.0346192223120333,-0.1417872583680629,0.1764064806800963,-0.0151335727675576,17.0,0.9453125,0.0555555555555555,0.9453125
test_r2,higher,GLM,PINN,8,0.0346192223120333,0.1524862265235976,-0.1178670042115642,-0.2072898695320904,11.0,0.3828125,-0.3888888888888889,0.765625
test_r2,higher,MLP,PINN,8,-0.1417872583680629,0.1524862265235976,-0.2942734848916606,-0.2440460806213302,5.0,0.078125,-0.7222222222222222,0.234375
test_pearson_r,higher,GLM,MLP,8,0.4603702032317834,0.7108648832026376,-0.2504946799708542,-0.1875992131597403,0.0,0.0078125,-1.0,0.0234375
test_pearson_r,higher,GLM,PINN,8,0.4603702032317834,0.7540040356053259,-0.2936338323735425,-0.2286820671333505,1.0,0.015625,-0.9444444444444444,0.03125
test_pearson_r,higher,MLP,PINN,8,0.7108648832026376,0.7540040356053259,-0.0431391524026882,-0.0481677818886152,5.0,0.078125,-0.7222222222222222,0.078125
